adjective_de,Counter Speech,Counter Hate,Hate Speech,Sentiment,Toxicity ,adjective,definitions
beschimpfend,,X,X,,,abusive,"Abusive is defined as causing or involving physical, emotional, or verbal harm to others."
akzeptierend,X,,,,,accepting,Accepting is defined as willing to receive or approve of others or their ideas without judgment or resistance.
entgegenkommend,X,,,,,accommodating,Accommodating is defined as willing to help or do favors; obliging and considerate.
bewundernd,X,,,,,admiring,"Admiring is defined as showing respect, approval, or warm regard for someone or something."
altersdiskriminierend,,X,X,,,age discriminatory,Age discriminatory is defined as treating someone unfairly or unequally based on their age.
aggressiv,,X,X,,,aggressive,"Aggressive is defined as behaving in a forceful or hostile manner, often with the intent to dominate or confront."
amüsiert,X,X,X,,,amused,"Amused is defined as experiencing or showing mild enjoyment, laughter, or entertainment."
belustigend,X,X,X,,,amusing,Amusing is defined as causing laughter or providing entertainment in a light-hearted way.
verärgert,X,X,X,,,annoyed,Annoyed is defined as feeling slightly angry or irritated due to someone or something.
behindertenfeindlich,,X,X,,,anti-disabled,"Anti-disabled is defined as showing prejudice, discrimination, or hostility toward disabled people or disability rights."
antifeministisch,,X,X,,,anti-feminist,Anti-feminist is defined as opposing or rejecting the principles of feminism or gender equality advocacy.
antiziganistisch,,X,X,,,antigypsyist,"Antigypsyist is defined as showing or characterized by prejudice, hostility, or discrimination against Roma or other perceived Gypsy communities."
queerfeindlich,,X,X,,,anti-queer,"Anti-queer is defined as expressing or characterized by hostility, prejudice, or discrimination against queer individuals or communities."
religionsfeindlich,,X,X,,,anti-religious,Anti-religious is defined as opposed to or hostile toward religion or religious practices.
antisemitisch,,X,X,,,anti-Semitic,anti-Semitic is defined as showing hostility toward or discrimination against Jewish people.
anerkennend,X,,,,,appreciative,Appreciative is defined as feeling or showing gratitude or recognition for something.
argumentativ,X,X,X,,,argumentative,Argumentative is defined as inclined to express or engage in disagreement or debate.
grausam,,X,X,,,awful,"Awful is defined as extremely bad, unpleasant, or shocking."
ausbalancierend,X,,,,,balancing,Balancing is defined as maintaining or achieving stability or equilibrium among different elements or forces.
herabsetzend,,X,X,,,belittling,Belittling is defined as making someone or something seem less impressive or important.
bitter,,X,X,,,bitter,"Bitter is defined as having a sharp, pungent taste or exhibiting strong feelings of resentment or hostility."
bodyshamend,,X,X,,,body shaming,Body shaming is defined as criticizing or mocking someone’s physical appearance in a way that promotes embarrassment or shame.
mutig,X,,,,,brave,Brave is defined as showing courage and facing danger or difficulty without fear.
brückenbauend,X,,,,,building bridges,Building bridges is defined as fostering connections and understanding between people or groups.
schikanierend,,X,X,,,bullying,"Bullying is defined as exhibiting aggressive, intimidating, or coercive behavior towards others, often repeatedly and intentionally."
gelassen,X,,,,,calmly,Calmly is defined as in a quiet and peaceful manner without agitation or excitement.
behutsam,X,,,,,carefully,"Carefully is defined as acting with attention, caution, or thoroughness to avoid mistakes or harm."
herausfordernd,X,X,X,,,challenging,"Challenging is defined as demanding effort, skill, or determination in a difficult or stimulating way."
aggressionsgeladen,,X,X,,,charged with aggression,"Charged with aggression is defined as displaying intense hostility, anger, or a readiness to confront or attack."
chauvinistisch,,X,X,,,chauvinistic,"chauvinistic is defined as showing excessive or prejudiced support for one's own cause, group, or sex."
prüfend,X,,,,,checking,"Checking is defined as examining, verifying, or inspecting something for accuracy or correctness."
engagiert,X,,,,,committed,"Committed is defined as being dedicated or loyal to a cause, activity, or person."
gemeinschaftsorientiert,X,,,,,community oriented,"Community oriented is defined as focused on supporting, engaging with, and improving the well-being of a local group or society."
versöhnlich,X,,,,,conciliatory,"conciliatory is defined as intended to pacify, appease, or bring about agreement between conflicting parties."
beweiskräftig,X,,,,,conclusive,Conclusive is defined as serving to prove a case or end doubt or uncertainty.
verurteilend,X,X,X,,,condemning,Condemning is defined as expressing strong disapproval or judgment toward someone or something.
gewaltverurteilend,X,,,,,condemning violence,Condemning violence is defined as expressing strong disapproval of the use of physical force to harm or intimidate.
herablassend,,X,X,,,condescending,"Condescending is defined as displaying a superior attitude toward others, often in a patronizing manner."
konfliktreich,,X,X,,,conflictual,"Conflictual is defined as involving or characterized by conflict, tension, or disagreement."
konfrontativ,X,X,X,,,confrontational,Confrontational is defined as inclined to deal with situations in an aggressive or argumentative way.
rücksichtsvoll,X,,,,,considerate,Considerate is defined as showing careful thought for the needs and feelings of others.
konstruktiv,X,,,,,constructive,Constructive is defined as serving a useful purpose or helping to develop or improve something.
geringschätzend,,X,X,,,contemptuous,Contemptuous is defined as showing or expressing deep hatred or disapproval.
widersprechend,X,,,,,contradictory,"Contradictory is defined as mutually opposing or inconsistent in meaning, action, or statement."
zuwiderlaufend,X,X,,,,contrary,"Contrary is defined as opposite in nature, direction, or meaning."
kontrastierend,X,,,,,contrasting,"Contrasting is defined as being strikingly different in comparison, highlighting differences when compared side by side."
umstritten,,X,X,,,controversial,Controversial is defined as causing disagreement or discussion due to differing opinions.
überzeugend,X,,,,,convincing,Convincing is defined as capable of causing someone to believe that something is true or real.
korrigierend,X,,,,,corrective,"Corrective is defined as intended to correct, improve, or counteract a fault or problem."
kreativ,X,X,X,,,creative,Creative is defined as having the ability to produce original and imaginative ideas or things.
kritisch,X,X,,,,critical,"Critical is defined as expressing disapproval or involving careful judgment, often highlighting problems or faults."
grenzüberschreitend,,X,X,,,cross-border,cross-border is defined as relating to or involving movement or interaction across national or regional boundaries.
neugierig,X,,,,,curious,Curious is defined as having a strong desire to learn or know something.
gefährlich,,X,X,,,dangerous,"Dangerous is defined as likely to cause harm, injury, or damage."
verleumderisch,,X,X,,,defamatory,Defamatory is defined as damaging the good reputation of someone through false or malicious statements.
verteidigend,X,,,,,defensive,Defensive is defined as being protective or quick to justify oneself against criticism or attack.
degradierend,,X,X,,,degrading,"Degrading is defined as causing a loss of respect, dignity, or self-worth."
entmenschlichend,,X,X,,,dehumanizing,"Dehumanizing is defined as treating people as if they are less than human, often by denying their dignity, individuality, or compassion."
abwägend,x,x,,,,deliberative,Deliberative is defined as involving careful consideration or discussion before making decisions.
demokratisch,X,,,,,democratically,"Democratically is defined as in a manner that involves or is based on the principles of democracy, such as voting or equal participation."
abfällig,,X,X,,,derogatory,Derogatory is defined as showing a critical or disrespectful attitude.
verabscheuungswürdig,,X,X,,,despicable,Despicable is defined as deserving to be despised or regarded with contempt or disgust.
zerstörerisch,,X,X,,,destructive,Destructive is defined as causing great damage or harm.
entwertend,,X,X,,,devaluing,"Devaluing is defined as reducing or belittling the worth, importance, or value of someone or something."
dialogorientiert,X,,,,,dialogue-oriented,Dialogue-oriented is defined as focused on encouraging open communication and exchange of ideas between individuals or groups.
meinungsverschieden,X,X,X,,,different opinions,"Different opinions is defined as varying or opposing views, beliefs, or judgments held by different individuals."
differenzierend,X,,,,,differentiating,Differentiating is defined as distinguishing or showing the differences between two or more things.
diplomatisch,X,,,,,diplomatic,Diplomatic is defined as having or showing skill in dealing with people or sensitive situations tactfully and effectively.
enttäuscht,X,X,X,,,disappointed,Disappointed is defined as feeling unhappy or let down because something did not happen as expected.
diskreditierend,,X,X,,,discreditable,Discreditable is defined as damaging to one's reputation or bringing shame or dishonor.
diskriminierend,,X,X,,,discriminatory,Discriminatory is defined as showing or involving unfair or prejudicial treatment of different categories of people.
diskutierend,X,,,,,discussing,Discussing is defined as engaging in conversation or debate about a topic to exchange ideas or reach a conclusion.
widerwärtig,,X,X,,,disgusting,Disgusting is defined as causing a strong feeling of revulsion or profound disapproval.
abweisend,X,X,X,,,dismissive,Dismissive is defined as showing a lack of interest or respect for someone or something.
respektlos,,X,X,,,disrespectful,Disrespectful is defined as showing a lack of respect or courtesy toward someone or something.
distanzierend,X,,,,,distancing,Distancing is defined as creating emotional or physical space between oneself and others or a situation.
sich distanzierend,X,,,,,distancing yourself,Distancing yourself is defined as deliberately creating emotional or physical space between yourself and others or a situation.
unterscheidend,X,,,,,distinctive,Distinctive is defined as having a quality or characteristic that makes something noticeably different or easily recognizable.
ablenkend,X,,X,,,distracting,Distracting is defined as causing someone to lose focus or attention due to interruption or diversion.
störend,,X,X,,,disturbing,"Disturbing is defined as causing anxiety, discomfort, or emotional upset."
diversitätsbewusst,X,,,,,diversity conscious,"Diversity conscious is defined as being aware of and actively respectful toward differences in culture, identity, and experience."
spaltend,,X,X,,,divisive,Divisive is defined as causing disagreement or hostility between people.
erbaulich,X,,,,,edifying,Edifying is defined as morally or intellectually instructive and uplifting.
effektiv,X,,,,,effectively,Effectively is defined as in a way that produces the intended result or success.
emanzipatorisch,X,,,,,emancipatory,"Emancipatory is defined as promoting or aiming to achieve freedom from social, political, or legal restrictions."
emotional,X,X,X,,,emotionally,Emotionally is defined as in a manner that relates to or expresses strong feelings or emotions.
empathisch,X,,,,,empathetic,Empathetic is defined as having the ability to understand and share the feelings of another.
aufmunternd,X,,,,,encouraging,"Encouraging is defined as giving someone support, confidence, or hope."
aufklärerisch,X,,,,,enlightening,Enlightening is defined as providing new insight or knowledge that clarifies or informs.
gleichberechtigt,X,,,,,Equal rights,"Equal rights is defined as the guarantee that all individuals have the same legal, social, and political opportunities regardless of differences such as race, gender, or religion."
beweisführend,X,,,,,evidential,"Evidential is defined as relating to, providing, or serving as evidence."
ausgrenzend,,X,X,,,exclusionary,Exclusionary is defined as tending to exclude or leave out certain people or groups.
bedenkenausdrückend,X,,,,,expressing concern,"Expressing concern is defined as showing worry, care, or interest about someone's well-being or a particular situation."
ausdrucksstark,X,X,X,,,expressive,"Expressive is defined as effectively conveying thought or feeling through words, gestures, or appearance."
extremistisch,,X,X,,,extremist,Extremist is defined as holding extreme political or religious views far outside the mainstream.
faktenbasiert,X,,,,,fact-based,fact-based is defined as grounded in or derived from verifiable facts or evidence.
faktenbezogen,X,,,,,factual,Factual is defined as based on or concerned with actual events or real information rather than opinions or interpretations.
fair,X,,,,,fair,Fair is defined as treating all people equally without favoritism or discrimination.
feministisch,X,,,,,feminist,"Feminist is defined as advocating for equal rights and opportunities for all genders, especially in support of women's rights."
freundlich,X,,,,,friendly,Friendly is defined as behaving in a kind and pleasant way toward others.
frustriert,X,X,X,,,frustrated,Frustrated is defined as feeling annoyed or upset due to being unable to achieve a goal or solve a problem.
lustig,X,X,X,,,funny,Funny is defined as causing laughter or amusement; humorous.
geschlechterdiskriminierend,,X,X,,,gender discriminatory,Gender discriminatory is defined as treating individuals unfairly or unequally based on their gender.
schadenfroh,,X,X,,,gleefully,Gleefully is defined as in a joyful or delighted manner.
gewaltverherrlichend,,X,X,,,glorifying violence,"Glorifying violence is defined as portraying violent actions in a way that makes them seem admirable, heroic, or desirable."
belästigend,,X,X,,,harassing,"Harassing is defined as persistently troubling, annoying, or attacking someone in an aggressive or unwanted manner."
schädlich,,X,X,,,harmful,"Harmful is defined as causing or likely to cause damage, injury, or negative effects."
hasserfüllt,,X,X,,,hateful,Hateful is defined as feeling or showing intense dislike or ill will.
hilfsbereit,X,,,,,helpful,Helpful is defined as giving or ready to give help or useful assistance.
homofeindlich,,X,X,,,homophobic,Homophobic is defined as having or showing a dislike of or prejudice against homosexual people.
anfeindend,,X,X,,,hostile,Hostile is defined as unfriendly or antagonistic in nature or behavior.
minderheitenfeindlich,,X,X,,,hostile to minorities,"Hostile to minorities is defined as exhibiting antagonism, prejudice, or discrimination toward individuals or groups based on their minority status."
menschenfreundlich,X,,,,,humane,"humane is defined as showing compassion, kindness, and sympathy toward others, especially in treating people or animals."
erniedrigend,,X,X,,,humiliating,"Humiliating is defined as causing someone to feel ashamed, foolish, or degraded."
humorvoll,X,X,X,,,humorous,Humorous is defined as causing laughter or amusement; funny.
verletzend,,X,X,,,hurtful,hurtful is defined as causing pain or distress to someone's feelings.
ignorant,,X,X,,,ignorant,"Ignorant is defined as lacking knowledge, awareness, or education in a particular subject."
einwandsbereit,X,,,,,impeccable,Impeccable is defined as flawless or without any errors or faults.
pietätlos,,X,X,,,impious,Impious is defined as lacking reverence or respect for religious or sacred things.
unangemessen,,X,X,,,inappropriate,Inappropriate is defined as not suitable or proper in a particular situation.
gewaltaufrufend,,X,X,,,inciting violence,"Inciting violence is defined as encouraging, provoking, or urging others to commit acts of physical aggression or disorder."
unverständlich,X,X,X,,,incomprehensible,incomprehensible is defined as impossible or very difficult to understand.
hetzerisch,,X,X,,,inflammatory,"Inflammatory is defined as arousing strong emotion, especially anger or hostility."
informierend,X,,,,,informative,Informative is defined as providing useful or interesting information.
informiert,X,,,,,informed,Informed is defined as having or showing knowledge of a particular subject or situation.
unmenschlich,,X,X,,,inhuman,"inhuman is defined as lacking human qualities of compassion, mercy, or kindness."
menschenverachtend,,X,X,,,inhumane,inhumane is defined as lacking compassion or kindness; cruel or brutal.
nachfragend,X,,,,,inquiring,Inquiring is defined as showing curiosity or a desire to gain knowledge.
unsensibel,,X,X,,,insensitive,Insensitive is defined as lacking awareness or concern for the feelings of others.
heimtückisch,,X,X,,,insidious,"Insidious is defined as proceeding in a gradual, subtle way but with harmful effects."
einsichtsvoll,X,,,,,insightful,Insightful is defined as showing a deep understanding of a person or situation.
schmähend,,X,X,,,insulting,Insulting is defined as causing offense or disrespect through words or actions.
integrativ,X,,,,,integrative,Integrative is defined as combining or coordinating separate elements to provide a unified whole.
einschüchternd,,X,X,,,intimidating,"Intimidating is defined as causing fear or nervousness due to being powerful, threatening, or impressive."
intolerant,,X,X,,,intolerant,"Intolerant is defined as unwilling to accept views, beliefs, or behaviors that differ from one's own."
untersuchend,X,,,,,investigating,Investigating is defined as examining or inquiring into something thoroughly to discover facts or information.
unverantwortlich,,X,X,,,irresponsible,Irresponsible is defined as not showing a proper sense of duty or accountability.
islamfeindlich,,X,X,,,Islamophobic,"Islamophobic is defined as having or showing dislike, prejudice, or irrational fear towards Islam or Muslims."
sachkundig,X,,,,,knowledgeable,"Knowledgeable is defined as possessing or showing a great deal of knowledge, insight, or understanding."
ettiketierend,,X,X,,,labeling,"Labeling is defined as describing or classifying someone or something in a specific way, often based on stereotypes or limited information."
objektiv ,X,,,,,lens,"Lens is defined as describing something related to a particular perspective, focus, or way of viewing information."
bösartig,,X,X,,,malicious,Malicious is defined as having or showing a desire to cause harm or suffering to others.
vermittelnd,X,,,,,mediating,Mediating is defined as acting as an intermediary to bring about agreement or resolve a conflict between parties.
misanthropisch,,X,X,,,misanthropic,Misanthropic is defined as having or showing a deep distrust or hatred of humankind.
misogyn,,X,X,,,misogynistic,"Misogynistic is defined as showing hatred, dislike, or prejudice against women."
spöttisch,X,X,X,,,mockingly,Mockingly is defined as in a manner that makes fun of or ridicules someone or something.
moderierend,X,,,,,moderating,"Moderating is defined as reducing the intensity, severity, or extremeness of something."
moralisierend,X,,,,,moralizing,Moralizing is defined as expressing judgments about what is right or wrong in a self-righteous or preachy manner.
motivierend,X,,,,,motivating,Motivating is defined as providing someone with a reason or incentive to take action or feel enthusiastic.
negativ,,X,X,,,negative,"Negative is defined as expressing denial, disagreement, or an unfavorable quality or condition."
neutralisierend,X,,,,,neutralizing,Neutralizing is defined as counteracting or canceling the effect of something.
gewaltfrei,X,,,,,non-violent,non-violent is defined as avoiding the use of physical force or aggression to resolve conflicts or achieve goals.
nuanzierend,X,,,,,nuanced,"Nuanced is defined as characterized by subtle distinctions or variations in meaning, expression, or sound."
obszön,,X,X,,,obscene,Obscene is defined as offensive or disgusting by accepted standards of morality or decency.
kränkend,,X,X,,,offending,"Offending is defined as causing displeasure, resentment, or a breach of law or etiquette."
anstößig,,X,X,,,offensive,"Offensive is defined as causing someone to feel hurt, upset, or angry, often through rude or disrespectful behavior."
aufgeschlossen,X,,,,,open minded,"Open minded is defined as being willing to consider new ideas, perspectives, or experiences without prejudice."
unterdrückend,,X,X,,,oppressive,"Oppressive is defined as unjustly harsh, cruel, or burdensome in a way that limits freedom or causes discomfort."
optimistisch,X,,,,,optimistic,Optimistic is defined as having a hopeful and positive outlook about the future or successful outcomes.
empört,X,X,X,,,outraged,outraged is defined as feeling intense anger or indignation due to something perceived as wrong or unjust.
empörend,x,X,X,,,outrageous,"Outrageous is defined as shockingly bad, excessive, or beyond acceptable limits."
überdenkend,X,,,,,overthinking,"Overthinking is defined as excessively analyzing or dwelling on a situation, decision, or problem to the point of hindering action or causing stress."
leidenschaftlich,X,X,X,,,passionate,"Passionate is defined as having or showing intense emotion, enthusiasm, or strong affection."
passiv-aggressiv,,X,X,,,passive-aggressive,"Passive-aggressive is defined as indirectly expressing negative feelings through subtle, avoidant, or resistant behavior instead of openly addressing them."
erbärmlich,,X,X,,,pathetic,"Pathetic is defined as arousing pity, sympathy, or contempt due to weakness or inadequacy."
geduldig,X,,,,,patient,"Patient is defined as able to accept or tolerate delays, problems, or suffering without becoming annoyed or anxious."
